     DATE        TIME   ,  Infosys,Wipro,TATA MOTORS,BAJAJ FINANCE,BANK OF INDIA,BIRLA,BOSCH,HDFC
2021-01-27 12:15:20.375385,1317.36,450.17,270.09,4864.15,50.07,719.5,385.1,15773.78,1451.78
2021-01-27 12:15:31.167892,1317.36,450.17,270.09,4864.15,50.07,719.5,385.1,15773.78,1451.78
2021-01-27 12:15:42.172004,1317.36,450.17,270.09,4864.15,50.07,719.5,385.1,15773.78,1451.72
2021-01-27 12:15:53.197609,1317.34,450.17,270.09,4864.15,50.07,719.46,385.1,15773.78,1451.78
2021-01-27 12:16:04.231128,1317.34,450.13,270.09,4864.15,50.07,719.46,385.1,15773.83,1451.72
2021-01-27 12:16:15.491717,1317.34,450.13,270.09,4864.15,50.07,719.46,385.1,15773.83,1451.72
2021-01-27 12:16:26.281179,1317.34,450.13,270.09,4864.15,50.07,719.46,385.1,15773.83,1451.67
2021-01-27 12:16:37.226482,1317.34,450.13,270.09,4864.15,50.07,719.46,385.1,15773.83,1451.67
2021-01-27 12:16:48.418133,1317.34,450.13,270.09,4864.15,50.07,719.46,385.1,15773.83,1451.67
2021-01-27 12:16:59.389161,1317.34,450.13,270.09,4864.12,50.07,719.46,385.1,15773.83,1451.67
2021-01-27 12:17:11.402823,1317.34,450.13,270.09,4864.12,50.07,719.46,385.1,15773.83,1451.67
2021-01-27 12:17:22.238278,1317.34,450.13,270.09,4864.12,50.07,719.46,385.1,15773.83,1451.67
2021-01-27 12:17:33.601608,1317.32,450.13,270.09,4864.12,50.07,719.46,385.1,15773.83,1451.67
2021-01-27 12:17:44.748447,1317.32,450.12,270.09,4864.12,50.07,719.45,385.1,15774.1,1451.67
2021-01-27 12:17:55.821369,1317.32,450.12,270.09,4864.12,50.07,719.45,385.1,15773.83,1451.67
2021-01-27 12:18:07.864700,1317.32,450.12,270.09,4864.12,50.07,719.45,385.1,15774.1,1451.65
2021-01-27 12:18:19.408014,1317.32,450.12,270.09,4864.07,50.07,719.45,385.11,15774.1,1451.65
2021-01-27 12:18:30.809517,1317.32,450.12,270.09,4864.07,50.07,719.45,385.11,15774.1,1451.65
2021-01-27 12:18:42.700288,1317.32,450.12,270.09,4864.07,50.07,719.45,385.11,15774.1,1451.54
2021-01-27 12:18:54.221702,1317.32,450.12,270.09,4864.07,50.07,719.45,385.11,15774.1,1451.54
2021-01-27 12:19:05.503622,1317.32,450.12,270.09,4864.07,50.07,719.45,385.11,15774.1,1451.54
2021-01-27 12:19:16.721038,1317.32,450.12,270.09,4864.07,50.07,719.45,385.11,15774.1,1451.54
